Year,LOG,Date,WOTY,County,City ,Site,Species,Total.Sum.Pool,Number.Females,Number.Males,Trap,ProportionPercent,Sum2017,Sum2018,2017Year_Iowa,2017WOTY_Iowa,2017Total.Sum.Pool_Iowa,2018Year_Iowa,2018WOTY_Iowa,2018Total.Sum.Pool_Iowa
2017,BG,7/10-7/11,28,Lee,Fort Madison,Tammy Wilson,Ae.albopictus,1,,,BG-Sentinel,0.231481481,432,1128,2017,22,0,2018,22,2
2017,BG,7/21-7/23,29,Lee,Fort Madison,Tammy Wilson,Ae.albopictus,3,,,BG-Sentinel,0.694444444,,,2017,23,0,2018,23,1
2017,BG,7/28-7/30,30,Des Moines ,Burlington,Sycamore St.,Ae.albopictus,2,,,BG-Sentinel,0.462962963,,,2017,24,0,2018,24,0
2017,BG,7/26-7/27,30,Lee,Fort Madison,Tammy Wilson,Ae.albopictus,1,,,BG-Sentinel,0.231481481,,,2017,25,0,2018,25,7
2017,BG,7/28-7/30,30,Lee,Fort Madison,Tammy Wilson,Ae.albopictus,1,,,BG-Sentinel,0.231481481,,,2017,26,0,2018,26,12
2017,GAT,7/24-7/30,30,Lee,Fort Madison,Jeana's V #1,Ae.albopictus,1,,,Gravid Aedes ,0.231481481,,,2017,27,0,2018,27,20
2017,GAT,7/24-7/30,30,Lee,Fort Madison,Jeana's V #2,Ae.albopictus,1,,,Gravid Aedes ,0.231481481,,,2017,28,1,2018,28,40
2017,BG,8/8-8/12,32,Des Moines ,Burlington,Herman Ave.,Ae.albopictus,3,,,BG-Sentinel,0.694444444,,,2017,29,3,2018,29,40
2017,BG,8/9-8/10,32,Lee,Fort Madison,Tammy Wilson,Ae.albopictus,1,,,BG-Sentinel,0.231481481,,,2017,30,6,2018,30,45
2017,GAT,8/7-8/13,32,Lee,Fort Madison,Jeana's V #1,Ae.albopictus,7,,,Gravid Aedes ,1.62037037,,,2017,31,0,2018,31,93
2017,BG,8/20-?,33,Des Moines ,Burlington,Herman Ave.,Ae.albopictus,2,,,BG-Sentinel,0.462962963,,,2017,32,12,2018,32,146
2017,BG,8/16-8/17,33,Lee,Fort Madison,Tammy Wilson,Ae.albopictus,2,,,BG-Sentinel,0.462962963,,,2017,33,17,2018,33,107
2017,BG,8/21-8/22,34,Des Moines ,Burlington,Herman Ave.,Ae.albopictus,4,,,BG-Sentinel,0.925925926,,,2017,34,49,2018,34,55
