Year,LOG,Date,WOTY,Time Set,Time Collected,Municipality,City/Town,Site,Site Habitat,Species,#Females,#Males,Life Stage,Trap,Attractant Used
2018,BG,9/21-9/24,38,,,Lee County,Keokuk,101 Navajo CM,Residential,Ae vexans,3,0,Adult,BG Sentinal,BG Lure
2018,BG,9/21-9/24,38,,,Lee County,Keokuk,101 Navajo CM,Residential,Ae japonicus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,9/19-9/21,38,,,Lee County,Keokuk,101 Navajo CM,Residential,Ae vexans,5,0,Adult,BG Sentinal,BG Lure
,,9/19-9/21,38,,,Lee County,Keokuk,101 Navajo CM,Residential,Ae japonicus,2,0,Adult,BG Sentinal,BG Lure
,,9/19-9/21,38,,,Lee County,Keokuk,101 Navajo CM,Residential,Ae triseriatus,9,0,Adult,BG Sentinal,BG Lure
,,9/19-9/21,38,,,Lee County,Keokuk,101 Navajo CM,Residential,Cx pipiens group,3,1,Adult,BG Sentinal,BG Lure
,,9/17-9/19,38,,,Lee County,Keokuk,101 Navajo CM,Residential,N/A,0,0,Adult,BG Sentinal,BG Lure
2018,BG,9/10-9/12,37/38,,,Lee County,Keokuk,101 Navajo CM,Residential,Ae triseriatus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,9/12-9/14,37,,,Lee County,Keokuk,101 Navajo CM,Residential,Ae atropalpus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,9/14-9/17,37/38,,,Lee County,Keokuk,101 Navajo CM,Residential,Ae japonicus,2,0,Adult,BG Sentinal,BG Lure
2018,BG,9/14-9/17,37/38,,,Lee County,Keokuk,101 Navajo CM,Residential,Ae triseriatus,3,0,Adult,BG Sentinal,BG Lure
2018,BG,9/24-9/26,39,,,Lee County,Keokuk,101 Navajo CM,Residential,Ae vexans,2,0,Adult,BG Sentinal,BG Lure
2018,BG,9/24-9/26,39,,,Lee County,Keokuk,101 Navajo CM,Residential,Ae triseriatus,2,0,Adult,BG Sentinal,BG Lure
2018,BG,9/24-9/26,39,,,Lee County,Keokuk,101 Navajo CM,Residential,Ae japonicus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,9/24-9/26,39,,,Lee County,Keokuk,101 Navajo CM,Residential,Cx territans,1,0,Adult,BG Sentinal,BG Lure
2018,BG,9/26-9/29,39,,,Lee County,Keokuk,101 Navajo CM,Residential,Ae vexans,0,1,Adult,BG Sentinal,BG Lure
2018,BG,9/26-9/29,39,,,Lee County,Keokuk,101 Navajo CM,Residential,Ae japonicus,2,0,Adult,BG Sentinal,BG Lure
2018,BG,9/21-9/24,38,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Ae vexans,2,0,Adult,BG Sentinal,BG Lure
2018,BG,9/21-9/24,38,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Ae species,1,0,Adult,BG Sentinal,BG Lure
2018,BG,9/19-9/21,38,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Ae albopictus,1,0,Adult,BG Sentinal,BG Lure
,,9/17-9/19,38,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Cx pipiens group,1,0,Adult,BG Sentinal,BG Lure
2018,BG,9/10-9/12,37/38,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Ae albopictus,2,0,Adult,BG Sentinal,BG Lure
2018,BG,9/10-9/12,37/38,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Ae triseriatus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,9/12-9/14,37,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Ae triseriatus,2,0,Adult,BG Sentinal,BG Lure
2018,BG,9/12-9/14,37,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Cx pipiens group,0,1,Adult,BG Sentinal,BG Lure
2018,BG,9/14-9/17,37/38,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Ae albopictus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,9/14-9/17,37/38,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Ae japonicus,2,0,Adult,BG Sentinal,BG Lure
2018,BG,9/14-9/17,37/38,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Cx pipiens group,1,0,Adult,BG Sentinal,BG Lure
2018,BG,8/27-8/29,35,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Ae albopictus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,8/27-8/29,35,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Cx pipiens group,1,0,Adult,BG Sentinal,BG Lure
2018,BG,8/29-8/31,35,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Ae albopictus,3,0,Adult,BG Sentinal,BG Lure
2018,BG,8/31-9/4,35,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Ae albopictus,3,0,Adult,BG Sentinal,BG Lure
2018,BG,8/31-9/4,35,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,Ae triseriatus,1,0,Adult,BG Sentinal,BG Lure
2018,BG,5/22-5/23,21,,,Lee County,Fort Madison,12 Ridgewood TW,Residential,N/A,0,0,Adult,BG Sentinal,BG Lure
